"id","doi","date"
1,"doi:10.5072/FK22Z17T3F","2016-10-27"
2,"doi:10.5072/FK2Z897K06","17101"
3,"doi:10.5072/FK2TH8HR65","17101"
4,"doi:10.5072/FK2PR7SZ2F","17101"
5,"doi:10.5072/FK2K07350Z","17101"
6,"doi:10.5072/FK2F76CB6X","17101"
7,"doi:10.5072/FK29G5NJ26","17101"
8,"doi:10.5072/FK25T3N41G","17101"
9,"doi:10.5072/FK2222X968","17101"
10,"doi:10.5072/FK2X926P1V","17101"
11,"doi:10.5072/FK2SJ1GV8B","17101"
12,"","17101"
13,"doi:10.5072/FK2J102824","17101"
14,"doi:10.5072/FK2D79BF6T","17101"
15,"doi:10.5072/FK28K7B14K","17101"
16,"doi:10.5072/FK24T6M70V","17101"
17,"doi:10.5072/FK2125WD65","17101"
18,"doi:10.5072/FK2W955S28","17101"
19,"doi:10.5072/FK2RJ4FZ9R","17101"
20,"doi:10.5072/FK2MS3R560","17101"
21,"doi:10.5072/FK2H131C00","17101"
22,"doi:10.5072/FK2CC10Z0B","17101"
24,"doi:10.5072/FK27M0944Q","17101"
25,"doi:10.5072/FK23T9K99X","17101"
27,"doi:10.5072/FK2028VH62","17101"
29,"doi:10.5072/FK2V984W3P","17101"
30,"","17101"
31,"doi:10.5072/FK2KS6Q82T","17101"
32,"doi:10.5072/FK2G44PV4J","17101"
33,"doi:10.5072/FK2BC4018B","17101"
34,"doi:10.5072/FK26M3874M","17101"
35,"doi:10.5072/FK22V2JF1D","17101"
36,"doi:10.5072/FK2Z31TS8N","17101"
37,"doi:10.5072/FK2TB14038","17101"
38,"doi:10.5072/FK2PK0D576","17101"
39,"doi:10.5072/FK2JW8CR8T","17101"
40,"doi:10.5072/FK2F47NZ3X","17101"
41,"doi:10.5072/FK29C6Z48T","17101"
42,"doi:10.5072/FK25M67B51","17101"
43,"doi:10.5072/FK21V5HJ19","17101"
44,"doi:10.5072/FK2X34SW50","17101"
45,"doi:10.5072/FK2SB4330M","17101"
46,"doi:10.5072/FK2NP22N94","17101"
47,"doi:10.5072/FK2HX1BV4W","17101"
48,"doi:10.5072/FK2D50N20Z","17101"
49,"doi:10.5072/FK28C9X776","17101"
50,"doi:10.5072/FK24M96F5X","17101"
51,"doi:10.5072/FK20V8GM9V","17101"
52,"doi:10.5072/FK2W37S04T","17101"
53,"doi:10.5072/FK2RF5RK5P","17101"
54,"doi:10.5072/FK2MP51R91","17101"
55,"doi:10.5072/FK2GX49Z59","17101"
56,"doi:10.5072/FK2C53M52W","17101"
57,"doi:10.5072/FK27D2WC06","17101"
58,"doi:10.5072/FK23N25J52","17101"
59,"doi:10.5072/FK2ZW1FW9D","17101"
60,"doi:10.5072/FK2V69FG78","17101"
